Year,Month,Stage of processing number,Stage of processing details,Index Value,
2010,SEP,3.1.2.3,Non-durable,100.2,
2010,SEP,3.2,Capital equipment,99.9,
2010,SEP,3.2.1,Manufacturing industries,99.3,
2010,SEP,3.2.2,Non-manufacturing industries,100.4,
2010,OCT,Total,Total,100.9,
2010,OCT,1,Crude materials for further processing,104.3,
2010,OCT,1.1,Foodstuffs and feedstuffs,101.5,
2010,OCT,1.2,Non-food materials,105.0,
2010,OCT,1.2.1,Non-food materials except fuel,106.2,
2010,OCT,1.2.2,Crude fuel,104.5,
2010,OCT,2,Intermediate materials supplies and components,100.3,
2010,OCT,2.1,Materials and components for manufacturing,101.7,
2010,OCT,2.1.1,Materials for food manufacturing,103.7,
2010,OCT,2.1.2,Materials for others manufacturing,100.9,
2010,OCT,2.2,Materials and components for construction,100.4,
2010,OCT,2.3,Processed fuels and lubricants,97.8,
2010,OCT,2.4,Containers,100.4,
2010,OCT,2.5,Supplies,99.6,
2010,OCT,2.5.1,Manufacturing industries,99.5,
2010,OCT,2.5.2,Non-manufacturing industries,100.2,
2010,OCT,2.5.2.1,Feeds,-,
2010,OCT,2.5.2.2,Other supplies,100.2,
2010,OCT,3,Finished goods,99.4,
2010,OCT,3.1,Finished consumer goods,100.3,
2010,OCT,3.1.1,Finished consumer foods,100.5,
2010,OCT,3.1.1.1,Crude,98.5,
2010,OCT,3.1.1.2,Processed,100.7,
2010,OCT,3.1.2,Finished consumer goods excluding foods,100.2,
2010,OCT,3.1.2.1,Durable,100.3,
2010,OCT,3.1.2.2,Semi-durable,100.0,
2010,OCT,3.1.2.3,Non-durable,100.4,
2010,OCT,3.2,Capital equipment,98.9,
2010,OCT,3.2.1,Manufacturing industries,99.3,
2010,OCT,3.2.2,Non-manufacturing industries,98.6,
2010,NOV,Total,Total,102.9,
2010,NOV,1,Crude materials for further processing,106.5,
2010,NOV,1.1,Foodstuffs and feedstuffs,101.7,
2010,NOV,1.2,Non-food materials,107.7,
2010,NOV,1.2.1,Non-food materials except fuel,121.2,
2010,NOV,1.2.2,Crude fuel,102.0,
2010,NOV,2,Intermediate materials supplies and components,103.2,
2010,NOV,2.1,Materials and components for manufacturing,106.7,
2010,NOV,2.1.1,Materials for food manufacturing,113.1,
2010,NOV,2.1.2,Materials for others manufacturing,104.1,
2010,NOV,2.2,Materials and components for construction,100.1,
2010,NOV,2.3,Processed fuels and lubricants,99.1,
2010,NOV,2.4,Containers,100.0,
2010,NOV,2.5,Supplies,99.6,
2010,NOV,2.5.1,Manufacturing industries,99.6,
2010,NOV,2.5.2,Non-manufacturing industries,99.8,
2010,NOV,2.5.2.1,Feeds,-,
2010,NOV,2.5.2.2,Other supplies,99.8,
2010,NOV,3,Finished goods,99.5,
2010,NOV,3.1,Finished consumer goods,100.4,
2010,NOV,3.1.1,Finished consumer foods,100.7,
2010,NOV,3.1.1.1,Crude,98.4,
2010,NOV,3.1.1.2,Processed,100.9,
2010,NOV,3.1.2,Finished consumer goods excluding foods,100.3,
2010,NOV,3.1.2.1,Durable,100.1,
2010,NOV,3.1.2.2,Semi-durable,100.7,
2010,NOV,3.1.2.3,Non-durable,100.2,
2010,NOV,3.2,Capital equipment,99.0,
2010,NOV,3.2.1,Manufacturing industries,100.0,
2010,NOV,3.2.2,Non-manufacturing industries,98.2,
2010,DEC,Total,Total,105.9,
2010,DEC,1,Crude materials for further processing,113.7,
2010,DEC,1.1,Foodstuffs and feedstuffs,102.7,
2010,DEC,1.2,Non-food materials,116.5,
2010,DEC,1.2.1,Non-food materials except fuel,136.1,
2010,DEC,1.2.2,Crude fuel,108.2,
2010,DEC,2,Intermediate materials supplies and components,106.4,
2010,DEC,2.1,Materials and components for manufacturing,112.2,
2010,DEC,2.1.1,Materials for food manufacturing,123.5,
2010,DEC,2.1.2,Materials for others manufacturing,107.7,
2010,DEC,2.2,Materials and components for construction,100.4,
2010,DEC,2.3,Processed fuels and lubricants,100.2,
2010,DEC,2.4,Containers,99.8,
2010,DEC,2.5,Supplies,99.6,
2010,DEC,2.5.1,Manufacturing industries,99.6,
2010,DEC,2.5.2,Non-manufacturing industries,99.7,
2010,DEC,2.5.2.1,Feeds,-,
2010,DEC,2.5.2.2,Other supplies,99.7,
2010,DEC,3,Finished goods,98.8,
2010,DEC,3.1,Finished consumer goods,101.6,
2010,DEC,3.1.1,Finished consumer foods,102.4,
2010,DEC,3.1.1.1,Crude,100.3,
2010,DEC,3.1.1.2,Processed,102.6,
2010,DEC,3.1.2,Finished consumer goods excluding foods,101.2,
2010,DEC,3.1.2.1,Durable,100.2,
2010,DEC,3.1.2.2,Semi-durable,101.1,
2010,DEC,3.1.2.3,Non-durable,102.1,
2010,DEC,3.2,Capital equipment,97.4,
2010,DEC,3.2.1,Manufacturing industries,95.9,
2010,DEC,3.2.2,Non-manufacturing industries,98.6,
2011,JAN,Total,Total,108.3,
2011,JAN,1,Crude materials for further processing,118.9,
2011,JAN,1.1,Foodstuffs and feedstuffs,107.2,
2011,JAN,1.2,Non-food materials,121.8,
2011,JAN,1.2.1,Non-food materials except fuel,145.2,
2011,JAN,1.2.2,Crude fuel,111.9,
2011,JAN,2,Intermediate materials supplies and components,108.7,
2011,JAN,2.1,Materials and components for manufacturing,116.5,
2011,JAN,2.1.1,Materials for food manufacturing,128.2,
2011,JAN,2.1.2,Materials for others manufacturing,111.8,
2011,JAN,2.2,Materials and components for construction,100.4,
2011,JAN,2.3,Processed fuels and lubricants,100.8,
2011,JAN,2.4,Containers,102.0,
2011,JAN,2.5,Supplies,99.1,
2011,JAN,2.5.1,Manufacturing industries,98.9,
2011,JAN,2.5.2,Non-manufacturing industries,100.4,
2011,JAN,2.5.2.1,Feeds,-,
2011,JAN,2.5.2.2,Other supplies,100.4,
2011,JAN,3,Finished goods,99.3,
2011,JAN,3.1,Finished consumer goods,102.4,
2011,JAN,3.1.1,Finished consumer foods,104.2,
2011,JAN,3.1.1.1,Crude,104.7,
2011,JAN,3.1.1.2,Processed,104.2,
2011,JAN,3.1.2,Finished consumer goods excluding foods,101.7,
2011,JAN,3.1.2.1,Durable,100.4,
2011,JAN,3.1.2.2,Semi-durable,101.0,
2011,JAN,3.1.2.3,Non-durable,103.0,
2011,JAN,3.2,Capital equipment,97.7,
2011,JAN,3.2.1,Manufacturing industries,95.6,
2011,JAN,3.2.2,Non-manufacturing industries,99.4,
2011,FEB,Total,Total,109.4,
2011,FEB,1,Crude materials for further processing,122.8,
2011,FEB,1.1,Foodstuffs and feedstuffs,109.4,
2011,FEB,1.2,Non-food materials,126.3,
2011,FEB,1.2.1,Non-food materials except fuel,147.7,
2011,FEB,1.2.2,Crude fuel,117.2,
2011,FEB,2,Intermediate materials supplies and components,109.5,
2011,FEB,2.1,Materials and components for manufacturing,120.9,
2011,FEB,2.1.1,Materials for food manufacturing,132.7,
2011,FEB,2.1.2,Materials for others manufacturing,116.2,
2011,FEB,2.2,Materials and components for construction,100.9,
2011,FEB,2.3,Processed fuels and lubricants,94.6,
2011,FEB,2.4,Containers,102.1,
2011,FEB,2.5,Supplies,98.6,
2011,FEB,2.5.1,Manufacturing industries,98.3,
2011,FEB,2.5.2,Non-manufacturing industries,100.6,
2011,FEB,2.5.2.1,Feeds,-,
2011,FEB,2.5.2.2,Other supplies,100.6,
2011,FEB,3,Finished goods,98.7,
2011,FEB,3.1,Finished consumer goods,102.9,
2011,FEB,3.1.1,Finished consumer foods,104.5,
2011,FEB,3.1.1.1,Crude,105.3,
2011,FEB,3.1.1.2,Processed,104.4,
2011,FEB,3.1.2,Finished consumer goods excluding foods,102.3,
2011,FEB,3.1.2.1,Durable,100.2,
2011,FEB,3.1.2.2,Semi-durable,102.4,
2011,FEB,3.1.2.3,Non-durable,103.7,
2011,FEB,3.2,Capital equipment,96.6,
2011,FEB,3.2.1,Manufacturing industries,95.5,
2011,FEB,3.2.2,Non-manufacturing industries,97.5,
2011,MAR,Total,Total,111.8,
2011,MAR,1,Crude materials for further processing,128.1,
2011,MAR,1.1,Foodstuffs and feedstuffs,108.9,
2011,MAR,1.2,Non-food materials,133.0,
2011,MAR,1.2.1,Non-food materials except fuel,133.1,
2011,MAR,1.2.2,Crude fuel,132.9,
2011,MAR,2,Intermediate materials supplies and components,111.9,
2011,MAR,2.1,Materials and components for manufacturing,120.3,
2011,MAR,2.1.1,Materials for food manufacturing,131.6,
2011,MAR,2.1.2,Materials for others manufacturing,115.9,
2011,MAR,2.2,Materials and components for construction,101.5,
2011,MAR,2.3,Processed fuels and lubricants,105.4,
2011,MAR,2.4,Containers,102.1,
2011,MAR,2.5,Supplies,98.6,
2011,MAR,2.5.1,Manufacturing industries,98.3,
2011,MAR,2.5.2,Non-manufacturing industries,101.3,
2011,MAR,2.5.2.1,Feeds,-,
2011,MAR,2.5.2.2,Other supplies,101.3,
2011,MAR,3,Finished goods,98.8,
2011,MAR,3.1,Finished consumer goods,103.1,
2011,MAR,3.1.1,Finished consumer foods,105.0,
2011,MAR,3.1.1.1,Crude,106.5,
2011,MAR,3.1.1.2,Processed,104.9,
2011,MAR,3.1.2,Finished consumer goods excluding foods,102.3,
2011,MAR,3.1.2.1,Durable,100.3,
2011,MAR,3.1.2.2,Semi-durable,102.9,
2011,MAR,3.1.2.3,Non-durable,103.3,
2011,MAR,3.2,Capital equipment,96.7,
2011,MAR,3.2.1,Manufacturing industries,96.0,
2011,MAR,3.2.2,Non-manufacturing industries,97.3,
2011,APR,Total,Total,113.2,
2011,APR,1,Crude materials for further processing,131.1,
2011,APR,1.1,Foodstuffs and feedstuffs,110.2,
2011,APR,1.2,Non-food materials,136.4,
2011,APR,1.2.1,Non-food materials except fuel,127.9,
2011,APR,1.2.2,Crude fuel,140.0,
2011,APR,2,Intermediate materials supplies and components,113.2,
2011,APR,2.1,Materials and components for manufacturing,119.3,
2011,APR,2.1.1,Materials for food manufacturing,126.1,
2011,APR,2.1.2,Materials for others manufacturing,116.7,
2011,APR,2.2,Materials and components for construction,101.8,
2011,APR,2.3,Processed fuels and lubricants,111.7,
2011,APR,2.4,Containers,102.1,
2011,APR,2.5,Supplies,100.2,
2011,APR,2.5.1,Manufacturing industries,100.1,
2011,APR,2.5.2,Non-manufacturing industries,101.3,
2011,APR,2.5.2.1,Feeds,-,
2011,APR,2.5.2.2,Other supplies,101.3,
2011,APR,3,Finished goods,99.3,
2011,APR,3.1,Finished consumer goods,103.4,
2011,APR,3.1.1,Finished consumer foods,105.7,
2011,APR,3.1.1.1,Crude,108.3,
2011,APR,3.1.1.2,Processed,105.5,
2011,APR,3.1.2,Finished consumer goods excluding foods,102.5,
2011,APR,3.1.2.1,Durable,100.5,
2011,APR,3.1.2.2,Semi-durable,102.9,
2011,APR,3.1.2.3,Non-durable,103.5,
2011,APR,3.2,Capital equipment,97.3,
2011,APR,3.2.1,Manufacturing industries,96.2,
2011,APR,3.2.2,Non-manufacturing industries,98.2,
2011,MAY,Total,Total,113.2,
2011,MAY,1,Crude materials for further processing,127.9,
2011,MAY,1.1,Foodstuffs and feedstuffs,110.4,
2011,MAY,1.2,Non-food materials,132.3,
2011,MAY,1.2.1,Non-food materials except fuel,128.7,
2011,MAY,1.2.2,Crude fuel,133.9,
2011,MAY,2,Intermediate materials supplies and components,114.3,
2011,MAY,2.1,Materials and components for manufacturing,119.2,
2011,MAY,2.1.1,Materials for food manufacturing,125.3,
2011,MAY,2.1.2,Materials for others manufacturing,116.8,
2011,MAY,2.2,Materials and components for construction,102.0,
2011,MAY,2.3,Processed fuels and lubricants,116.1,
2011,MAY,2.4,Containers,102.0,
2011,MAY,2.5,Supplies,101.1,
2011,MAY,2.5.1,Manufacturing industries,101.0,
2011,MAY,2.5.2,Non-manufacturing industries,101.4,
2011,MAY,2.5.2.1,Feeds,-,
2011,MAY,2.5.2.2,Other supplies,101.4,
2011,MAY,3,Finished goods,99.6,
2011,MAY,3.1,Finished consumer goods,104.2,
2011,MAY,3.1.1,Finished consumer foods,107.0,
2011,MAY,3.1.1.1,Crude,106.5,
2011,MAY,3.1.1.2,Processed,107.0,
2011,MAY,3.1.2,Finished consumer goods excluding foods,103.0,
2011,MAY,3.1.2.1,Durable,100.7,
2011,MAY,3.1.2.2,Semi-durable,102.8,
2011,MAY,3.1.2.3,Non-durable,104.7,
2011,MAY,3.2,Capital equipment,97.4,
2011,MAY,3.2.1,Manufacturing industries,96.6,
2011,MAY,3.2.2,Non-manufacturing industries,98.0,
2011,JUN,Total,Total,113.5,
2011,JUN,1,Crude materials for further processing,126.7,
2011,JUN,1.1,Foodstuffs and feedstuffs,113.0,
2011,JUN,1.2,Non-food materials,130.2,
2011,JUN,1.2.1,Non-food materials except fuel,124.3,
2011,JUN,1.2.2,Crude fuel,132.7,
2011,JUN,2,Intermediate materials supplies and components,115.2,
2011,JUN,2.1,Materials and components for manufacturing,118.7,
2011,JUN,2.1.1,Materials for food manufacturing,123.3,
2011,JUN,2.1.2,Materials for others manufacturing,116.9,
2011,JUN,2.2,Materials and components for construction,102.2,
2011,JUN,2.3,Processed fuels and lubricants,120.6,
